game_number,payout,lifestyle_bonus,total_payout,lifestyle_bonuses,cards_drawn,draw_order,card_stack,suit_counts,life,wild,death,super_death,longest_suit_count,best_payout,best_payout_card_count
0,2.7,0.7,3.4,3,11,"['super_life5', 'life10', 'super_life7', 'wild', 'super_life10', 'super_life1', 'life2', 'life1', 'life5', 'life3', 'death9']","{'suits': {1: ['super_life1', 'life1'], 2: ['life2'], 3: ['life3'], 4: [], 5: ['super_life5', 'life5', 'wild'], 6: [], 7: ['super_life7'], 8: [], 9: ['death9'], 10: ['life10', 'super_life10']}, 'wilds': [], 'super_death': []}","{1: 2, 2: 1, 3: 1, 4: 0, 5: 3, 6: 0, 7: 1, 8: 0, 9: 1, 10: 2}",9,1,1,0,3,2.7,"[super_life5, life10, super_life7, wild, super_life10, super_life1, life2, life1, life5, life3, death9]"
1,0.1,0.0,0.1,0,2,"['life10', 'death8']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: ['death8'], 9: [], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 1}",1,0,1,0,1,0.1,"[life10, death8]"
2,0.3,0.1,0.4,1,3,"['life1', 'wild', 'death9']","{'suits': {1: ['life1', 'wild'], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: ['death9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 2, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0}",1,1,1,0,2,0.3,"[life1, wild, death9]"
3,1.5,0.6,2.1,2,10,"['life5', 'life8', 'wild', 'life10', 'life9', 'wild', 'life2', 'super_life1', 'life5', 'death6']","{'suits': {1: ['super_life1'], 2: ['life2'], 3: [], 4: [], 5: ['life5', 'life5', 'wild'], 6: ['death6'], 7: [], 8: ['life8', 'wild'], 9: ['life9'], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 1, 3: 0, 4: 0, 5: 3, 6: 1, 7: 0, 8: 2, 9: 1, 10: 1}",7,2,1,0,3,1.5,"[life5, life8, wild, life10, life9, wild, life2, super_life1, life5, death6]"
4,1.7,0.1,1.8,1,5,"['super_life7', 'life4', 'life5', 'super_wild', 'death2']","{'suits': {1: [], 2: ['death2'], 3: [], 4: ['life4'], 5: ['life5'], 6: [], 7: ['super_life7', 'super_wild'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 1, 5: 1, 6: 0, 7: 2, 8: 0, 9: 0, 10: 0}",3,1,1,0,2,1.7,"[super_life7, life4, life5, super_wild, death2]"
5,0.4,0.1,0.5,1,4,"['life9', 'wild', 'life8', 'death2']","{'suits': {1: [], 2: ['death2'], 3: [], 4: [], 5: [], 6: [], 7: [], 8: ['life8'], 9: ['life9', 'wild'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 2, 10: 0}",2,1,1,0,2,0.4,"[life9, wild, life8, death2]"
6,0.5,0.0,0.5,0,2,"['super_life7', 'death10']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: ['super_life7'], 8: [], 9: [], 10: ['death10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 1}",1,0,1,0,1,0.5,"[super_life7, death10]"
7,1.4,0.2,1.6,2,7,"['super_life1', 'super_life7', 'life2', 'life6', 'life7', 'life6', 'death3']","{'suits': {1: ['super_life1'], 2: ['life2'], 3: ['death3'], 4: [], 5: [], 6: ['life6', 'life6'], 7: ['super_life7', 'life7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 1, 3: 1, 4: 0, 5: 0, 6: 2, 7: 2, 8: 0, 9: 0, 10: 0}",6,0,1,0,2,1.4,"[super_life1, super_life7, life2, life6, life7, life6, death3]"
8,0.2,0.0,0.2,0,3,"['life7', 'life6', 'death5']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['death5'], 6: ['life6'], 7: ['life7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 1, 7: 1, 8: 0, 9: 0, 10: 0}",2,0,1,0,1,0.2,"[life7, life6, death5]"
9,0.3,0.1,0.4,1,3,"['life2', 'wild', 'death10']","{'suits': {1: [], 2: ['life2', 'wild'], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: ['death10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 2, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1}",1,1,1,0,2,0.3,"[life2, wild, death10]"
