game_number,payout,lifestyle_bonus,total_payout,lifestyle_bonuses,cards_drawn,draw_order,card_stack,suit_counts,life,wild,death,super_death,longest_suit_count
0,0.0,0.0,0.0,1,8,"['life9', 'life1', 'life4', 'life6', 'life9', 'life3', 'life8', 'super_death']","{'suits': {1: ['life1'], 2: [], 3: ['life3'], 4: ['life4'], 5: [], 6: ['life6'], 7: [], 8: ['life8'], 9: ['life9', 'life9'], 10: []}, 'wilds': [], 'super_death': ['super_death']}","{1: 1, 2: 0, 3: 1, 4: 1, 5: 0, 6: 1, 7: 0, 8: 1, 9: 2, 10: 0}",7,0,1,1,2
1,0.0,0.0,0.0,0,1,['death5'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['death5'], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
2,0.7,0.1,0.8,1,4,"['life9', 'super_life7', 'life6', 'death6']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: ['life6', 'death6'], 7: ['super_life7'], 8: [], 9: ['life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 2, 7: 1, 8: 0, 9: 1, 10: 0}",3,0,1,0,2
3,0.1,0.0,0.1,0,2,"['life6', 'death8']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: ['life6'], 7: [], 8: ['death8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 1, 9: 0, 10: 0}",1,0,1,0,1
4,0.5,0.0,0.5,0,2,"['super_life9', 'death6']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: ['death6'], 7: [], 8: [], 9: ['super_life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 1, 10: 0}",1,0,1,0,1
5,0.0,0.0,0.0,0,1,['death4'],"{'suits': {1: [], 2: [], 3: [], 4: ['death4'], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
6,0.0,0.0,0.0,0,1,['super_death'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': ['super_death']}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,1,0
7,0.0,0.0,0.0,0,1,['death3'],"{'suits': {1: [], 2: [], 3: ['death3'], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
8,0.2,0.1,0.3,1,3,"['life6', 'life1', 'death1']","{'suits': {1: ['life1', 'death1'], 2: [], 3: [], 4: [], 5: [], 6: ['life6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 2, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",2,0,1,0,2
9,0.9,0.1,1.0,1,6,"['life3', 'life7', 'life2', 'super_life10', 'life1', 'death7']","{'suits': {1: ['life1'], 2: ['life2'], 3: ['life3'], 4: [], 5: [], 6: [], 7: ['life7', 'death7'], 8: [], 9: [], 10: ['super_life10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 1, 3: 1, 4: 0, 5: 0, 6: 0, 7: 2, 8: 0, 9: 0, 10: 1}",5,0,1,0,2
